source,target,type,received,dispatched,comentario
{{NRIC}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},CP1-Realizar creacion de una tx con signer tipo NRIC y con signer tipo Regulado de forma correcta 
{{EMAIL}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},CP2-Realizar creacion de una tx con signer tipo EMAIL y con signer tipo Regulado de forma correcta 
{{PHONE}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},CP3-Realizar creacion de una tx con signer tipo CELULAR y con signer tipo IDENTIFICACION  de forma correcta 
{{ALPHANUMERIC}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},CP4-Realizar creacion de una tx con signer tipo ALFANUMERICO  y con signer tipo IDENTIFICACION  de forma correcta 
{{MERCHANT}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},CP5-Realizar creacion de una tx con signer tipo CODIGO DE COMERCIO  y con signer tipo IDENTIFICACION  de forma correcta 
{{MERCHANT}},{{NRIC}},SENDMOL,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la creacion de tx tipo SEND de forma correcta
{{MERCHANT}},wMnf1jjced8aR2PmfZBRNkAaXEntGtrNHg,SEND,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la creacion de tx tipo SEND de forma correcta entre regulado y no regulado
wiYb8FfdVfNpsTJEa4tRYZ2R13goNWkkMD,wSYqCQHGgP3HJ1prU8Ufk7cCBkUsJUsYWx,SEND,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Crear la transaccion con llave regulada y no regulada de diferente banco
wiYb8FfdVfNpsTJEa4tRYZ2R13goNWkkMD,wVz23KdT1WgMmC4MRbzY53monPcD4Ng64m,SEND,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Crear la transaccion con llave regulada y no regulada del mismo banco 
wiYb8FfdVfNpsTJEa4tRYZ2R13goNWkkMD,wQgZUJgFME632ztkJEEFpTFQJEZrVuxxZm,SEND,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Crear la transaccion con llaves reguladas y del mismo banco 
wiYb8FfdVfNpsTJEa4tRYZ2R13goNWkkMD,weNaDyjmsqgyFquoJ7h4DFEqJhPBpiLf2m,SEND,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Crear la transaccion con llaves reguladas entre diferentes bancos 
