source,target,type,tx_id,amount,received,dispatched,comentario
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},11552001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la respuesta del MOL para una instrucción de Pago Intra-SPBVI cuando el monto es superior a 1000 UVB informadas en la regulación
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},0,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la respuesta de una instrucción de Pago Intra-SPBVI cuando el monto es cero
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},kjfkdsjfkls,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la respuesta de una instrucción de Pago Intra-SPBVI cuando el monto es letras 
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(misma entidad de origen y destino)
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad origen no existe)
,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad origen el campo este vacio)
null,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad origen el campo sea null)
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad destino no existe)
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad destino el campo este vacio)
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,null,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de liquidación de una instrucción de pago On-Us(Cuando la llave entidad destino el campo sea null)
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,,115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) campo vacio
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,null,115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) campo null
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,fdskfjdsklfs%&&$%$##$%%#,115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) solo con carecteres especiales
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,kfdjfdkfjdskfjdskfjk4330dskdfkjsd,115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) solo con carecteres alfabéticos
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,{{codigo_generado}},115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) formato correcto
wNv7rAtfnbCTPUBqLVXeRaAEGRYhHBfxzR,wUydvLj67UbJbb3jZoa3Dk6RLFRDPvS3Vd,SENDMOL,20251110900504002TFY200100211243167,115520,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar la funcionalidad de campo (tx_id) Duplicado
